# ResilientP2P Log Export
# App Version: 1.0
# Device: SM-A730F-c404681a
# Export Time: 2026-02-12 19:42:18
# Uptime: 408517ms
# Battery: 72% (25.3C)
# Packets: sent=3695 recv=2678 fwd=3315 drop=1186
# Bytes: sent=645782 recv=165828
# Connections: established=2 lost=3
# AvgRTT: 251ms
# StoreForward: queued=0 delivered=0
# Neighbors: 0 Routes: 0
#
ID,Timestamp,Level,Type,PeerID,Message,RSSI,LatencyMs,PayloadSizeBytes
23020,2026-02-12 19:42:16.697,WARN,SYSTEM,Unknown,"DISCONNECTED endpoint=79GZ peerName='Unknown' duration=unknown(-1ms) routesLost=1[P2P-Node-7424] remainingNeighbors=0 lifetimeDisconnections=3 remainingPeers=[]",,,
23019,2026-02-12 19:42:16.414,DEBUG,SYSTEM,Unknown,"TRANSFER_COMPLETE from=79GZ(Unknown) bytes=170",,,170
23018,2026-02-12 19:42:16.405,TRACE,SYSTEM,,"PACKET_BROADCAST id=d58dad3e src='P2P-Node-7424' targets=0 ttl=4",,,
23016,2026-02-12 19:42:16.404,DEBUG,SYSTEM,SM-A730F-c404681a,"PACKET_IN id=f0cd2d03 type=PONG src='SM-A730F-c404681a' dst='P2P-Node-7424' via=LOCAL(LOCAL) ttl=5 payloadSize=64B",,,64
23017,2026-02-12 19:42:16.404,WARN,SYSTEM,,"PACKET_DROPPED id=f0cd2d03 dest='P2P-Node-7424' reason=NO_ROUTE type=PONG",,,
23014,2026-02-12 19:42:16.402,DEBUG,SYSTEM,,"RoutingTable Updated: P2P-Node-7424 -> 79GZ (Score: 500, Prev: -2147483648, Hops: 1, DeadHop: false)",,,
23015,2026-02-12 19:42:16.402,DEBUG,SYSTEM,P2P-Node-7424,"PACKET_IN id=d58dad3e type=PING src='P2P-Node-7424' dst='BROADCAST' via=79GZ(Unknown) ttl=5 payloadSize=64B",,,64
23013,2026-02-12 19:42:16.401,DEBUG,SYSTEM,Unknown,"PAYLOAD_RECEIVED from=79GZ(Unknown) type=BYTES inNeighbors=false",,,
23012,2026-02-12 19:42:15.955,WARN,SYSTEM,Unknown,"DISCONNECTED endpoint=79GZ peerName='Unknown' duration=unknown(-1ms) routesLost=0[] remainingNeighbors=0 lifetimeDisconnections=2 remainingPeers=[]",,,
23011,2026-02-12 19:42:15.954,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23009,2026-02-12 19:42:15.953,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23010,2026-02-12 19:42:15.953,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23006,2026-02-12 19:42:15.952,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23007,2026-02-12 19:42:15.952,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23008,2026-02-12 19:42:15.952,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23004,2026-02-12 19:42:15.951,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23005,2026-02-12 19:42:15.951,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23001,2026-02-12 19:42:15.950,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23002,2026-02-12 19:42:15.950,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23003,2026-02-12 19:42:15.950,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
22999,2026-02-12 19:42:15.949,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
23000,2026-02-12 19:42:15.949,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
22997,2026-02-12 19:42:15.948,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
22998,2026-02-12 19:42:15.948,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
22994,2026-02-12 19:42:15.947,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
22995,2026-02-12 19:42:15.947,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
22996,2026-02-12 19:42:15.947,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
22991,2026-02-12 19:42:15.946,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
22992,2026-02-12 19:42:15.946,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=U3F6(Unknown) transferred=178/178",,,
