# ResilientP2P Log Export
# App Version: 1.0
# Device: P2P-Node-7842
# Export Time: 2026-02-12 19:42:12
# Uptime: 382477ms
# Battery: 81% (27.5C)
# Packets: sent=3665 recv=2649 fwd=3298 drop=1185
# Bytes: sent=638968 recv=164162
# Connections: established=2 lost=4
# AvgRTT: 253ms
# StoreForward: queued=0 delivered=0
# Neighbors: 0 Routes: 0
#
ID,Timestamp,Level,Type,PeerID,Message,RSSI,LatencyMs,PayloadSizeBytes
25736,2026-02-12 19:42:10.150,TRACE,SYSTEM,,"ZOMBIE_CHECK neighbors=0 threshold=45000ms interval=2000ms",,,
25735,2026-02-12 19:42:08.735,WARN,SYSTEM,Unknown,"DISCONNECTED endpoint=7POX peerName='Unknown' duration=unknown(-1ms) routesLost=0[] remainingNeighbors=0 lifetimeDisconnections=4 remainingPeers=[]",,,
25734,2026-02-12 19:42:08.346,WARN,SYSTEM,Unknown,"DISCONNECTED endpoint=79GZ peerName='Unknown' duration=unknown(-1ms) routesLost=0[] remainingNeighbors=0 lifetimeDisconnections=3 remainingPeers=[]",,,
25728,2026-02-12 19:42:07.684,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25729,2026-02-12 19:42:07.684,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25730,2026-02-12 19:42:07.684,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25731,2026-02-12 19:42:07.684,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25732,2026-02-12 19:42:07.684,WARN,SYSTEM,Unknown,"DISCONNECTED endpoint=7POX peerName='Unknown' duration=unknown(-1ms) routesLost=0[] remainingNeighbors=0 lifetimeDisconnections=1 remainingPeers=[]",,,
25733,2026-02-12 19:42:07.684,WARN,SYSTEM,Unknown,"DISCONNECTED endpoint=79GZ peerName='Unknown' duration=unknown(-1ms) routesLost=0[] remainingNeighbors=0 lifetimeDisconnections=2 remainingPeers=[]",,,
25716,2026-02-12 19:42:07.683,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25717,2026-02-12 19:42:07.683,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25718,2026-02-12 19:42:07.683,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25719,2026-02-12 19:42:07.683,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25720,2026-02-12 19:42:07.683,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
25721,2026-02-12 19:42:07.683,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
