# ResilientP2P Log Export
# App Version: 1.0
# Device: P2P-Node-7424
# Export Time: 2026-02-12 19:42:32
# Uptime: 453822ms
# Battery: 67% (25.1C)
# Packets: sent=3697 recv=2677 fwd=3316 drop=1185
# Bytes: sent=644540 recv=165762
# Connections: established=2 lost=2
# AvgRTT: 238ms
# StoreForward: queued=0 delivered=0
# Neighbors: 0 Routes: 0
#
ID,Timestamp,Level,Type,PeerID,Message,RSSI,LatencyMs,PayloadSizeBytes
26826,2026-02-12 19:42:30.760,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26824,2026-02-12 19:42:30.759,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26825,2026-02-12 19:42:30.759,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26823,2026-02-12 19:42:30.757,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26822,2026-02-12 19:42:30.756,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26820,2026-02-12 19:42:30.755,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26821,2026-02-12 19:42:30.755,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26818,2026-02-12 19:42:30.754,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26819,2026-02-12 19:42:30.754,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26816,2026-02-12 19:42:30.753,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26817,2026-02-12 19:42:30.753,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26815,2026-02-12 19:42:30.752,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26813,2026-02-12 19:42:30.751,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26814,2026-02-12 19:42:30.751,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26811,2026-02-12 19:42:30.750,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26812,2026-02-12 19:42:30.750,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26809,2026-02-12 19:42:30.749,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26810,2026-02-12 19:42:30.749,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26807,2026-02-12 19:42:30.748,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26808,2026-02-12 19:42:30.748,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26806,2026-02-12 19:42:30.747,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=174/174",,,
26805,2026-02-12 19:42:30.746,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26804,2026-02-12 19:42:30.745,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
26802,2026-02-12 19:42:30.744,WARN,SYSTEM,Unknown,"TRANSFER_FAILED from=7POX(Unknown) transferred=178/178",,,
